schema_name,table_name,index_name,is_unique,is_primary,index_definition,index_columns,partial_index_condition
public,departments,departments_pkey,yes,yes,CREATE UNIQUE INDEX departments_pkey ON public.departments USING btree (id),"[""CREATE UNIQUE INDEX departments_pkey ON departments USING btree (id)""]",null
public,departments,departments_slug_key,yes,no,CREATE UNIQUE INDEX departments_slug_key ON public.departments USING btree (slug),"[""CREATE UNIQUE INDEX departments_slug_key ON departments USING btree (slug)""]",null
public,event_documents,event_documents_event_id_idx,no,no,CREATE INDEX event_documents_event_id_idx ON public.event_documents USING btree (event_id),"[""CREATE INDEX event_documents_event_id_idx ON event_documents USING btree (event_id)""]",null
public,event_documents,event_documents_file_path_unique_idx,yes,no,CREATE UNIQUE INDEX event_documents_file_path_unique_idx ON public.event_documents USING btree (file_path),"[""CREATE UNIQUE INDEX event_documents_file_path_unique_idx ON event_documents USING btree (file_path)""]",null
public,event_documents,event_documents_pkey,yes,yes,CREATE UNIQUE INDEX event_documents_pkey ON public.event_documents USING btree (id),"[""CREATE UNIQUE INDEX event_documents_pkey ON event_documents USING btree (id)""]",null
public,event_documents,event_documents_public_sort_idx,no,no,"CREATE INDEX event_documents_public_sort_idx ON public.event_documents USING btree (event_id, is_public, sort_order)","[""CREATE INDEX event_documents_public_sort_idx ON event_documents USING btree (event_id, is_public, sort_order)"",""event_id"",""is_public""]",null
public,events,events_pkey,yes,yes,CREATE UNIQUE INDEX events_pkey ON public.events USING btree (id),"[""CREATE UNIQUE INDEX events_pkey ON events USING btree (id)""]",null
public,events,idx_events_featured_starts_at,no,no,"CREATE INDEX idx_events_featured_starts_at ON public.events USING btree (is_featured, starts_at)","[""CREATE INDEX idx_events_featured_starts_at ON events USING btree (is_featured, starts_at)"",""is_featured""]",null
public,events,idx_events_public_upcoming,no,no,CREATE INDEX idx_events_public_upcoming ON public.events USING btree (starts_at) WHERE (is_published = true),"[""CREATE INDEX idx_events_public_upcoming ON events USING btree (starts_at) WHERE is_published = true""]",(is_published = true)
public,events,idx_events_published_starts_at,no,no,"CREATE INDEX idx_events_published_starts_at ON public.events USING btree (is_published, starts_at)","[""CREATE INDEX idx_events_published_starts_at ON events USING btree (is_published, starts_at)"",""is_published""]",null
public,events,idx_events_slug_unique,yes,no,CREATE UNIQUE INDEX idx_events_slug_unique ON public.events USING btree (slug),"[""CREATE UNIQUE INDEX idx_events_slug_unique ON events USING btree (slug)""]",null
public,events,idx_events_starts_at,no,no,CREATE INDEX idx_events_starts_at ON public.events USING btree (starts_at),"[""CREATE INDEX idx_events_starts_at ON events USING btree (starts_at)""]",null
public,events,idx_events_team_starts_at,no,no,"CREATE INDEX idx_events_team_starts_at ON public.events USING btree (team_id, starts_at)","[""CREATE INDEX idx_events_team_starts_at ON events USING btree (team_id, starts_at)"",""team_id""]",null
public,events,idx_events_type_starts_at,no,no,"CREATE INDEX idx_events_type_starts_at ON public.events USING btree (event_type, starts_at)","[""CREATE INDEX idx_events_type_starts_at ON events USING btree (event_type, starts_at)"",""event_type""]",null
public,membership_request_recipients,idx_membership_request_recipients_active_sort,no,no,"CREATE INDEX idx_membership_request_recipients_active_sort ON public.membership_request_recipients USING btree (is_active, sort_order)","[""CREATE INDEX idx_membership_request_recipients_active_sort ON membership_request_recipients USING btree (is_active, sort_order)"",""is_active""]",null
public,membership_request_recipients,idx_membership_request_recipients_email_type_unique,yes,no,"CREATE UNIQUE INDEX idx_membership_request_recipients_email_type_unique ON public.membership_request_recipients USING btree (email, COALESCE(request_type, ''::text))","[""CREATE UNIQUE INDEX idx_membership_request_recipients_email_type_unique ON membership_request_recipients USING btree (email, COALESCE(request_type, ''::text))"",""email""]",null
public,membership_request_recipients,membership_request_recipients_pkey,yes,yes,CREATE UNIQUE INDEX membership_request_recipients_pkey ON public.membership_request_recipients USING btree (id),"[""CREATE UNIQUE INDEX membership_request_recipients_pkey ON membership_request_recipients USING btree (id)""]",null
public,membership_requests,idx_membership_requests_desired_team_id,no,no,CREATE INDEX idx_membership_requests_desired_team_id ON public.membership_requests USING btree (desired_team_id),"[""CREATE INDEX idx_membership_requests_desired_team_id ON membership_requests USING btree (desired_team_id)""]",null
public,membership_requests,idx_membership_requests_request_type,no,no,CREATE INDEX idx_membership_requests_request_type ON public.membership_requests USING btree (request_type),"[""CREATE INDEX idx_membership_requests_request_type ON membership_requests USING btree (request_type)""]",null
